,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,1.5283576,0.5468195,1.1352895,1.0866872,0.78290004,0.35521904,0.8729357,-1.0757264,-0.36410335,0.9484145,-0.056828264,1.0308702,-0.78536946,0.6901179,0.56174225,-0.3978474,-0.42707625,0.10482452,-0.18558294,-1.3917332,-0.2589214,-0.29893595,-1.7815609,-0.24775615,-0.8718144,-1.711788,-0.681257,-0.9702669,-0.7156768,-0.9707751,-1.7060764,-1.2898911,-1.5965084,-1.6252401,-1.7815286,-0.6431946,-1.5606529,-1.7449523,-1.6078101,1.7662258,-0.8536842,0.051562823,-0.006398362,-0.47616655,-0.8523237,-0.6229003,1.4006063,-0.6637949,-0.45857587,0.35034895,0.592342,-0.348427,-0.5144642,-1.6392701,0.3511469,-0.59401464,-0.7134122,-1.2632875,0.08155676,-0.7978136,-1.223398,-0.21587206,-1.1088037,-1.2176185,-0.13929029,-1.1989851,-1.1523502,-1.2436955,-1.0810349,-0.7354688,-1.0560892,-0.9278363,-0.9524978,-0.90472215,-1.4383916,-0.88516176,-0.8769454,-1.4009173
1,0.9812669,0.3559378,1.4365529,1.0962256,0.6587144,0.7193454,0.5455985,-0.9463949,0.12287185,0.9227674,0.12529607,0.73954344,-0.5564197,0.51950526,0.43187097,-0.40195334,-0.08410611,-0.051827706,0.27498144,-1.0578206,-0.34936494,-0.11629669,-1.6515282,0.1652423,-1.1109048,-1.5138042,-0.24677892,-0.98042613,-0.68354034,-0.68452704,-1.7881393,-0.9873007,-1.7098961,-1.4454029,-1.2870559,-0.7499624,-2.0434842,-1.4573574,-1.8449279,1.0574481,-0.98932225,-0.71663976,-0.21098797,-1.2822753,-0.94889754,-0.949959,1.3117344,-0.97483563,-0.4398385,-0.015550802,0.17886345,-0.4077474,-0.47007874,-1.009826,0.29677325,-0.74847525,-0.49091583,-1.1104634,0.44479194,-0.84429926,-1.1821617,-0.10012152,-1.2140751,-1.0270923,-0.13120356,-1.3222541,-1.0494139,-1.144278,-0.9696695,-0.7435458,-1.3475511,-0.7901517,-0.5951143,-1.0647284,-1.3173018,-0.6706295,-1.1963204,-0.8595561
2,1.6214323,0.51116973,1.2405334,0.7561485,0.8693755,0.6060016,0.4519909,-0.8308526,-0.5840968,0.9153354,0.020271638,1.0139512,-0.67304516,0.045644693,0.57555014,-0.5915251,-0.84061104,0.5742102,0.12975927,-1.109699,-0.44706452,-0.118056856,-1.3269473,-0.05638385,-0.661523,-1.3623211,-0.92234576,-0.94127315,-0.9003757,-0.8383367,-1.6736801,-1.1244833,-1.5800992,-1.3875344,-1.9580643,-0.6523706,-2.0085251,-1.6853656,-1.9410928,1.6384394,-0.55689657,-0.3897249,-0.06310998,-0.2930778,-1.2122655,-0.32036218,1.3218038,-0.575125,0.206954,-0.579926,0.6200513,-0.7693797,-0.38867188,-0.860397,-0.16253045,-0.57181144,-1.0214227,-1.0281378,0.18486916,-0.7795755,-1.2303032,-0.5956703,-1.0612398,-1.0690675,-0.50019616,-0.875266,-1.0641674,-0.9209958,-1.3437458,-1.1634071,-1.1232123,-0.89742786,-0.8961731,-1.0741279,-1.4022635,-0.7880187,-0.9901354,-1.0014501
3,0.7806708,0.7243321,0.88755333,0.8770568,1.0841529,0.7515114,0.28203687,-0.54206014,-0.3913486,1.0475996,0.3949887,0.69127107,-0.42438397,0.34181184,0.7496047,-0.23458089,-0.417493,0.56183714,-0.084385924,-0.7274023,-0.6803642,0.20845385,-0.9993547,-0.2464861,-0.8946627,-1.1468568,-0.8222529,-0.82241744,-0.6028361,-0.9883993,-1.5786856,-1.1778258,-1.8071105,-1.4280427,-1.5979633,-0.5181743,-1.705909,-1.4495243,-2.352352,1.1030009,-1.0144325,-0.11784203,-0.41467798,-1.194908,-1.7976416,-0.10445948,0.36745214,-1.0674009,-0.64967823,-0.6691707,-0.71907264,-0.70258605,-0.54519546,-0.8857675,0.3250708,-0.8234821,-1.100822,-0.7941789,-0.2221167,-0.8063634,-1.4071121,-0.67554843,-1.046237,-1.0937897,-0.22174737,-1.0427072,-0.7536464,-1.1881498,-0.8657148,-0.96077704,-0.6791298,-0.86069834,-1.102223,-1.1359547,-1.509228,-1.0766717,-0.9070713,-0.76031053
4,1.7639586,0.7438667,1.390277,1.0432839,1.0028721,0.38140786,0.82567036,-0.65512633,-0.83507293,0.9561704,0.0130199995,0.6295719,-0.555608,0.44470087,0.7857193,-0.7126509,0.022231322,0.15631492,-0.31838202,-0.86236674,-0.4843103,-0.3931503,-1.5457001,-0.23588659,-0.94196904,-1.55907,-0.18568873,-1.3064504,-0.5103087,-0.9459766,-1.215414,-0.89160025,-1.7371336,-0.9296368,-1.1363913,-1.002553,-1.4282082,-1.8126764,-2.1493645,0.8978451,-0.5504415,-0.26029536,0.23443356,-1.0955454,-0.274296,-1.3869324,-0.05124477,-0.7338579,0.7683782,-0.14432138,-0.47450027,-0.28195775,-0.8994022,-0.9666296,0.8643336,-0.5345392,-1.013039,-0.45240724,-0.29722613,-0.47070065,-0.8857459,-0.6039456,-1.1308316,-1.1495848,-0.5407061,-1.0041924,-0.40747884,-1.1100589,-1.0141705,-1.210278,-1.256254,-0.7933502,-1.1049116,-0.7944893,-1.4042168,-1.2054859,-1.0925663,-0.51731485
5,3.1796327,0.68151206,1.0995493,1.4217918,0.917346,0.018004443,0.5290137,-0.6918297,-1.0169528,1.1592097,0.13364874,0.40538168,-0.7332918,0.044250205,0.73506784,-0.829009,-0.5402803,0.21326177,-0.34164432,-1.1064755,-0.7302178,-0.50060225,-1.77316,-0.52233195,-1.1005626,-1.6947883,-0.6252374,-1.4202551,-0.6618868,-1.7265292,-1.8789259,-1.711365,-2.4132247,-2.0084891,-1.6921263,-1.2988333,-2.4458838,-2.3428814,-3.340872,0.5063567,-0.22322679,-0.10370446,0.19756465,-1.1320302,-0.36854064,-1.414022,-0.54818475,-0.16779542,0.033060417,0.1257236,-0.054058384,-0.27930415,-1.0657517,-0.4177567,1.147922,-0.4200465,-1.149772,-0.56173253,-0.27006817,-0.389914,-0.73899937,-0.5930655,-1.1447872,-1.296416,-1.0324771,-1.0716609,-0.9218701,-1.0148059,-1.0217563,-1.0786383,-1.1551228,-1.1081414,-0.9337135,-1.1431949,-1.3173163,-0.8848465,-1.3611368,-0.5366435
6,2.056108,0.5494523,1.2061641,0.7642287,1.1834704,0.68809485,0.66385216,-0.47766623,-0.7128624,1.1454328,0.43604267,0.8132566,-0.852376,0.90053695,0.41940594,-0.9953268,-0.5688992,0.45841864,-0.35176882,-1.283147,-0.5236119,-0.28050244,-1.1914909,-0.5037638,-0.87412244,-1.8343008,-0.35603654,-1.6773146,-0.77021724,-1.4335157,-1.4290665,-1.184848,-2.005359,-1.9975855,-1.9087819,-1.2265797,-1.7228601,-2.3073716,-2.2311106,2.1189542,0.027466873,-0.18168506,0.28865135,-0.4939641,-1.4806033,-0.42838183,0.59141946,-0.33205944,0.91587657,-0.54765904,-0.4899309,0.05204015,-1.1208034,-0.9603224,0.6565362,-0.7814681,-1.1945806,-0.32274333,-0.00854024,-0.71200496,-1.1393769,-0.7646277,-0.92262745,-1.0895222,-0.337339,-1.2597382,-0.5437261,-1.3726856,-0.9749111,-0.96687645,-1.0900669,-0.6956282,-0.6429179,-0.8138847,-1.0960054,-1.0802199,-0.77211773,-0.9153749
7,1.920034,0.55847216,1.007714,0.9929691,0.9832504,0.8331995,0.5047676,-0.18911657,-0.6655026,0.93620247,0.37394425,0.8472599,-0.6138338,0.68207294,0.616411,-0.6263884,-0.35086557,0.37632415,-0.18571635,-1.2611609,-0.5576668,-0.21564518,-0.80671966,-0.49562493,-0.7525337,-1.2798814,-0.7146916,-1.5367054,-0.7379702,-1.4535563,-1.4070368,-0.9810587,-1.7558047,-1.5850044,-1.7520285,-0.67955416,-1.6755643,-1.5273634,-2.3625453,1.7962062,-0.55428135,-0.4745925,-0.76922226,-1.2617729,-1.5239321,-0.5666441,0.021590477,-0.6292887,0.23462985,-0.8443796,-0.6729413,-0.2754504,-1.4171786,-0.95273566,0.9270212,-0.7471821,-1.1158171,-0.6249396,0.32720414,-0.7646777,-1.0683779,-0.82291543,-0.97039163,-1.1563019,-0.6580364,-1.1267319,-0.6109646,-1.3876202,-0.91179717,-1.2954382,-1.2699323,-0.9634057,-0.8758931,-1.1831592,-1.6326592,-0.67281526,-0.84367967,-0.9521316
8,2.5047114,0.8172413,1.2553728,1.1565114,1.0462555,0.27415705,1.0570515,-0.01435964,-0.63405824,1.1382188,0.89696985,0.40915945,-0.60680073,0.5444322,0.54398346,0.26745588,-0.50101745,0.3571904,0.5183984,-1.6143639,0.023542464,-0.40714356,-1.3742489,-0.33730176,-0.74498117,-0.9909625,-0.29390505,-1.4043875,-0.63355196,-1.5761529,-1.8803223,-1.680289,-1.5863388,-2.4311037,-0.68274957,-1.5687668,-1.7845094,-2.3022509,-2.4138534,0.85184586,-0.92657197,-0.063119926,0.24417835,-1.1793941,-0.26344335,-1.7532985,-1.1097302,-0.23864171,0.0016163666,-0.69991887,-0.8244184,-0.56321514,-1.2545389,-0.87043136,-0.4798938,-0.52336884,-1.020372,-0.51598424,0.51842594,-0.4224259,-1.0844463,-0.54961264,-1.0105681,-0.95729697,-0.80799884,-1.3747861,-0.79269063,-1.2878008,-0.8536412,-1.1801751,-1.1443496,-1.2294787,-0.47299555,-1.3117001,-1.0250366,-0.8430548,-0.8164079,-0.8764723
9,2.7677603,0.39620608,1.1276053,0.9057356,0.87019527,0.007940277,0.3868811,-0.52363676,-0.83503443,1.2878488,0.51656204,0.10048558,-0.9361391,0.42147356,0.18767218,-0.5111612,-0.42943716,0.16325486,0.13978669,-1.6584526,0.078320965,-0.3662422,-1.3828998,-0.65167964,-1.060096,-1.6975008,-0.64458865,-1.3394525,-1.0014368,-1.9608616,-1.7855645,-2.0467532,-2.0033104,-2.638341,-1.5218602,-1.286462,-1.8062768,-2.3231778,-2.7154825,0.81971097,-0.6182242,-0.69088256,0.4417533,-0.48161763,0.12041967,-1.5022386,-1.1157566,0.029290063,0.82795495,-5.5543733e-05,-0.83700657,-0.009678095,-0.623204,-0.9057725,0.06574759,-0.49045965,-0.72391516,-0.50226104,0.016887609,-0.4304077,-1.0767096,-0.43656063,-1.0893593,-0.7895471,-0.7335715,-1.0116968,-0.6620221,-1.1712067,-1.0996813,-0.9726668,-0.9738272,-1.1182188,-0.9402718,-0.80888087,-1.031349,-0.84595734,-1.2864686,-0.9075474
