,actor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,emotion
0,22,38009.957,2600.6196,977.5878,717.72876,350.64355,482.61423,346.47543,301.53827,478.90646,164.9062,154.15715,213.97534,139.44702,341.15213,142.50554,224.23058,117.01009,53.8703,144.41504,66.1099,64.77991,67.7564,70.39285,91.0275,59.014034,63.289238,55.134075,34.788864,46.015217,53.219852,58.212715,147.70671,90.18282,52.828056,28.561903,19.879406,30.274824,29.995874,48.931133,52.350117,surprised
1,22,33688.168,3047.2075,774.785,488.841,283.3416,409.8685,219.24951,191.0242,235.92116,89.78339,114.14892,101.296814,66.05722,188.148,40.348644,95.49048,42.59869,29.062927,77.822784,33.00813,45.525684,36.63699,59.290607,24.81648,32.682964,38.332928,132.31467,168.07455,190.28249,205.84334,166.78712,137.87914,74.93298,72.14757,63.410995,64.335464,35.48421,71.11097,66.48982,89.24374,happy
2,22,29680.93,2791.558,888.33203,401.04706,254.10985,291.10693,276.73825,240.91908,212.09897,145.41747,73.00041,127.50645,66.168465,119.1796,39.302963,87.714905,29.584305,40.404434,46.426697,58.155716,45.60586,29.767075,50.135124,29.594519,34.2579,29.822168,70.254814,61.195507,113.41252,86.453125,98.26298,163.25987,145.37556,163.47801,112.84405,65.88516,81.199814,71.34986,75.185196,94.26133,calm
3,22,34784.75,1867.6252,694.6387,638.71686,287.70868,396.83807,273.59384,214.35876,383.7185,118.77609,160.40405,174.27415,67.662,199.91287,70.24477,108.79938,78.222176,76.60254,126.72125,181.1041,156.3945,114.67369,121.45773,176.13878,111.98445,59.47795,56.482273,52.923706,82.79141,45.695305,37.97932,31.83676,62.75415,52.356544,63.074883,50.05436,51.82142,41.2152,39.019955,79.79215,happy
4,22,37291.734,2534.7656,951.3535,720.51764,322.93948,400.8815,354.48404,190.89703,307.5712,105.920044,111.32866,198.04747,74.44161,235.69972,66.28302,131.91153,184.46477,216.75893,298.25842,138.92792,107.57912,67.43476,115.08094,204.48915,149.55048,128.90356,53.1982,39.723824,55.978542,44.163727,32.4349,68.930084,57.875683,43.729706,32.43431,36.33666,36.03027,27.575066,36.942154,41.37398,surprised
5,22,30226.19,3072.7717,679.9965,614.7823,351.08307,274.59238,313.43066,188.4187,191.53975,136.29935,130.50278,91.222466,107.966606,146.45274,46.96137,85.57471,43.151005,32.682602,69.90439,49.28548,61.427906,47.694904,51.430946,68.07427,75.13993,115.68799,126.28899,48.74164,100.60771,55.44228,73.12699,71.64726,93.87554,136.34375,147.8386,115.65225,80.62943,51.325077,48.354153,81.62831,happy
6,22,28265.928,3557.598,1377.7119,419.07907,327.59012,412.83118,287.9191,272.05096,267.61313,75.05585,59.3866,136.3108,106.51847,192.38203,38.37731,77.90464,72.203514,28.382719,46.58779,38.158012,50.047733,30.555817,39.337677,16.006306,32.347267,22.49543,71.39676,24.929125,46.349052,82.1668,146.01859,115.29874,89.20591,105.22876,115.08524,99.89538,112.67011,180.15858,200.33215,205.8155,disgust
7,22,29565.447,2001.289,1249.8398,780.55414,443.1138,583.57837,277.29648,284.87057,347.52936,123.58452,149.14178,101.04961,67.9692,181.42076,38.255714,79.38856,122.401764,67.4689,178.2917,71.38863,139.1911,162.63344,153.55963,229.51447,243.8819,318.35672,160.8262,183.62419,203.46645,158.09634,88.71977,70.92599,47.534527,42.231094,65.85724,40.41337,34.055458,40.371834,33.43123,41.7022,angry
8,22,30194.717,2978.931,665.7935,532.04083,274.7663,258.89316,252.65083,199.92706,256.7956,81.32135,83.127235,151.81041,76.96474,157.13956,41.138416,102.91964,67.210754,27.903336,59.879227,37.877632,62.51181,19.29954,58.175167,25.81595,60.70443,43.732742,109.90385,65.14514,109.763855,213.01657,171.19179,122.28972,125.2288,208.17143,168.77606,138.72725,53.88895,29.614273,50.378403,36.653183,sad
9,22,33562.367,2891.0144,650.63525,427.00992,270.74524,277.3775,297.10098,242.23277,197.28899,99.30241,54.668507,115.4827,106.763695,99.94093,36.76031,118.510605,29.586554,44.639526,71.67979,59.041203,38.525646,23.890615,45.620354,29.585306,33.65961,39.4079,91.986,123.94321,158.29887,124.23234,118.43381,116.42879,141.54617,174.37773,136.89374,72.548225,61.335487,132.45686,167.78949,132.58577,neutral
10,22,26487.717,1060.8899,831.01324,443.2783,267.06314,386.66568,401.79465,221.55621,251.06363,84.133965,201.14697,106.84726,66.53543,223.62119,53.350525,83.95993,174.0447,49.221115,159.6968,96.803505,172.91194,336.9569,257.8998,323.829,162.15656,79.38734,101.97781,61.532738,31.510092,71.01402,68.23497,43.727776,68.50532,45.331463,34.729214,42.15599,34.632774,33.913246,37.583164,53.71348,fear
11,22,27001.322,2255.1677,339.4186,586.4629,286.36624,286.70612,195.37773,178.38205,246.33214,146.5331,117.49139,93.873116,111.18956,152.18758,32.636036,129.11687,42.094555,41.631264,43.263153,49.09625,57.17903,30.31309,53.74131,39.946793,37.990852,29.512735,106.897766,85.191475,129.00508,75.60267,104.10758,75.73157,78.36856,127.53282,145.21046,69.17906,55.403675,103.00184,84.52321,109.57238,neutral
12,22,31011.207,1955.6946,660.2594,619.00354,244.3193,291.9706,235.5247,214.09634,259.68008,143.08995,109.682785,66.40527,109.062195,235.47165,41.538414,122.92444,63.240665,33.236526,66.59923,56.615646,75.90291,56.53725,73.69201,47.705166,70.68802,97.61447,214.76678,186.62695,181.40564,100.00513,77.831184,138.5746,148.73784,222.99724,136.58871,131.28879,47.71255,14.388632,22.760105,44.507526,fear
13,22,26539.85,1204.3904,1041.3918,614.30426,314.9393,374.40717,420.3972,202.28949,284.62466,121.32905,185.2709,96.75382,98.36238,238.29027,52.79161,136.70114,212.685,276.39243,288.6496,305.0612,250.20825,246.01324,192.94485,58.80801,91.598274,65.03903,101.51188,52.714806,55.013565,45.14988,47.86852,88.9285,63.63451,55.805115,72.82464,38.78962,35.361897,68.285355,43.953575,61.410145,fear
14,22,31731.701,2958.7898,566.8476,437.4316,284.45038,235.05392,224.53183,222.4404,262.02136,164.67773,86.624344,92.73426,100.723045,160.54099,44.897697,90.98783,34.381485,28.916733,58.06354,52.86681,59.569027,31.103136,48.394577,45.776836,45.566998,36.679058,81.736496,83.47027,112.70483,65.22943,72.106895,68.81304,136.17667,229.78313,143.73044,85.26507,54.1459,116.165634,91.1223,72.93936,calm
15,22,27951.758,3940.2068,979.7301,709.4496,358.62418,357.5006,322.0859,177.49745,210.10883,105.87024,74.35039,187.53194,81.54582,119.58978,40.282436,59.81288,97.16492,34.946316,42.88284,46.128506,34.533997,37.352142,45.381878,33.03222,36.42237,47.041283,83.95317,45.159763,43.757362,38.13271,65.294945,45.105236,62.16561,76.073364,108.718925,90.8578,89.90052,123.19221,143.30421,197.99126,disgust
16,22,22817.223,2561.5112,774.6683,356.8898,242.6836,318.713,240.36142,290.72906,198.91708,130.84702,81.013054,96.202095,90.078125,124.21353,60.38975,99.30928,49.11919,33.677807,62.425095,38.448353,39.443714,24.984274,66.85485,45.506424,38.821655,37.56761,175.85266,200.74355,171.21536,163.93637,123.9219,156.44823,117.594734,118.547195,175.8117,232.44772,191.20233,228.96065,68.072525,81.69702,sad
