,0
0,neutral
1,neutral
2,neutral
3,neutral
4,calm
5,calm
6,calm
7,calm
8,calm
9,calm
10,calm
11,calm
12,happy
13,happy
14,happy
15,happy
16,happy
17,happy
18,happy
19,happy
20,sad
21,sad
22,sad
23,sad
24,sad
25,sad
26,sad
27,sad
28,angry
29,angry
30,angry
31,angry
32,angry
33,angry
34,angry
35,angry
36,fear
37,fear
38,fear
39,fear
40,fear
41,fear
42,fear
43,fear
44,disgust
45,disgust
46,disgust
47,disgust
48,disgust
49,disgust
50,disgust
51,disgust
52,surprised
53,surprised
54,surprised
55,surprised
56,surprised
57,surprised
58,surprised
59,surprised
60,neutral
61,neutral
62,neutral
63,neutral
64,calm
65,calm
66,calm
67,calm
68,calm
69,calm
70,calm
71,calm
72,happy
73,happy
74,happy
75,happy
76,happy
77,happy
78,happy
79,happy
80,sad
81,sad
82,sad
83,sad
84,sad
85,sad
86,sad
87,sad
88,angry
89,angry
90,angry
91,angry
92,angry
93,angry
94,angry
95,angry
96,fear
97,fear
98,fear
99,fear
100,fear
101,fear
102,fear
103,fear
104,disgust
105,disgust
106,disgust
107,disgust
108,disgust
109,disgust
110,disgust
111,disgust
112,surprised
113,surprised
114,surprised
115,surprised
116,surprised
117,surprised
118,surprised
119,surprised
120,neutral
121,neutral
122,neutral
123,neutral
124,calm
125,calm
126,calm
127,calm
128,calm
129,calm
130,calm
131,calm
132,happy
133,happy
134,happy
135,happy
136,happy
137,happy
138,happy
139,happy
140,sad
141,sad
142,sad
143,sad
144,sad
145,sad
146,sad
147,sad
148,angry
149,angry
150,angry
151,angry
152,angry
153,angry
154,angry
155,angry
156,fear
157,fear
158,fear
159,fear
160,fear
161,fear
162,fear
163,fear
164,disgust
165,disgust
166,disgust
167,disgust
168,disgust
169,disgust
170,disgust
171,disgust
172,surprised
173,surprised
174,surprised
175,surprised
176,surprised
177,surprised
178,surprised
179,surprised
180,neutral
181,neutral
182,neutral
183,neutral
184,calm
185,calm
186,calm
187,calm
188,calm
189,calm
190,calm
191,calm
192,happy
193,happy
194,happy
195,happy
196,happy
197,happy
198,happy
199,happy
200,sad
201,sad
202,sad
203,sad
204,sad
205,sad
206,sad
207,sad
208,angry
209,angry
210,angry
211,angry
212,angry
213,angry
214,angry
215,angry
216,fear
217,fear
218,fear
219,fear
220,fear
221,fear
222,fear
223,fear
224,disgust
225,disgust
226,disgust
227,disgust
228,disgust
229,disgust
230,disgust
231,disgust
232,surprised
233,surprised
234,surprised
235,surprised
236,surprised
237,surprised
238,surprised
239,surprised
240,neutral
241,neutral
242,neutral
243,neutral
244,calm
245,calm
246,calm
247,calm
248,calm
249,calm
250,calm
251,calm
252,happy
253,happy
254,happy
255,happy
256,happy
257,happy
258,happy
259,happy
260,sad
261,sad
262,sad
263,sad
264,sad
265,sad
266,sad
267,sad
268,angry
269,angry
270,angry
271,angry
272,angry
273,angry
274,angry
275,angry
276,fear
277,fear
278,fear
279,fear
280,fear
281,fear
282,fear
283,fear
284,disgust
285,disgust
286,disgust
287,disgust
288,disgust
289,disgust
290,disgust
291,disgust
292,surprised
293,surprised
294,surprised
295,surprised
296,surprised
297,surprised
298,surprised
299,surprised
300,neutral
301,neutral
302,neutral
303,neutral
304,calm
305,calm
306,calm
307,calm
308,calm
309,calm
310,calm
311,calm
312,happy
313,happy
314,happy
315,happy
316,happy
317,happy
318,happy
319,happy
320,sad
321,sad
322,sad
323,sad
324,sad
325,sad
326,sad
327,sad
328,angry
329,angry
330,angry
331,angry
332,angry
333,angry
334,angry
335,angry
336,fear
337,fear
338,fear
339,fear
340,fear
341,fear
342,fear
343,fear
344,disgust
345,disgust
346,disgust
347,disgust
348,disgust
349,disgust
350,disgust
351,disgust
352,surprised
353,surprised
354,surprised
355,surprised
356,surprised
357,surprised
358,surprised
359,surprised
360,neutral
361,neutral
362,neutral
363,neutral
364,calm
365,calm
366,calm
367,calm
368,calm
369,calm
370,calm
371,calm
372,happy
373,happy
374,happy
375,happy
376,happy
377,happy
378,happy
379,happy
380,sad
381,sad
382,sad
383,sad
384,sad
385,sad
386,sad
387,sad
388,angry
389,angry
390,angry
391,angry
392,angry
393,angry
394,angry
395,angry
396,fear
397,fear
398,fear
399,fear
400,fear
401,fear
402,fear
403,fear
404,disgust
405,disgust
406,disgust
407,disgust
408,disgust
409,disgust
410,disgust
411,disgust
412,surprised
413,surprised
414,surprised
415,surprised
416,surprised
417,surprised
418,surprised
419,surprised
420,neutral
421,neutral
422,neutral
423,neutral
424,calm
425,calm
426,calm
427,calm
428,calm
429,calm
430,calm
431,calm
432,happy
433,happy
434,happy
435,happy
436,happy
437,happy
438,happy
439,happy
440,sad
441,sad
442,sad
443,sad
444,sad
445,sad
446,sad
447,sad
448,angry
449,angry
450,angry
451,angry
452,angry
453,angry
454,angry
455,angry
456,fear
457,fear
458,fear
459,fear
460,fear
461,fear
462,fear
463,fear
464,disgust
465,disgust
466,disgust
467,disgust
468,disgust
469,disgust
470,disgust
471,disgust
472,surprised
473,surprised
474,surprised
475,surprised
476,surprised
477,surprised
478,surprised
479,surprised
480,neutral
481,neutral
482,neutral
483,neutral
484,calm
485,calm
486,calm
487,calm
488,calm
489,calm
490,calm
491,calm
492,happy
493,happy
494,happy
495,happy
496,happy
497,happy
498,happy
499,happy
500,sad
501,sad
502,sad
503,sad
504,sad
505,sad
506,sad
507,sad
508,angry
509,angry
510,angry
511,angry
512,angry
513,angry
514,angry
515,angry
516,fear
517,fear
518,fear
519,fear
520,fear
521,fear
522,fear
523,fear
524,disgust
525,disgust
526,disgust
527,disgust
528,disgust
529,disgust
530,disgust
531,disgust
532,surprised
533,surprised
534,surprised
535,surprised
536,surprised
537,surprised
538,surprised
539,surprised
540,neutral
541,neutral
542,neutral
543,neutral
544,calm
545,calm
546,calm
547,calm
548,calm
549,calm
550,calm
551,calm
552,happy
553,happy
554,happy
555,happy
556,happy
557,happy
558,happy
559,happy
560,sad
561,sad
